zoo_label,tau,nearest_zoo,nearest_cograph,status,cograph_measure,call,definition_source,verification,verified_scope,note
Clustering degree algorithm (CDA),0.978,Diffusion Degree,diffusion,implemented,cda,"centrality(x, measures = ""cda"")",https://doi.org/10.1109/ACCESS.2018.2822844 eq2-6,batch18/run_equivalence.R: igraph Barrat clustering and independent Python neighbor-pair enumeration; alpha=0/0.25/0.5/0.75/1,undirected nonnegative weighted graphs; zero-weight edges absent; explicit directed weight-sum projection,"returns PC score, not intermediate CD; global maximum weight; default alpha0.5; low-degree clustering=0; isolates=0; weights retain units"
Diffusion centrality,0.977,Infection number,infection,implemented,diffusion_centrality,"centrality(x, measures = ""diffusion_centrality"", diffusion_q = 1, diffusion_steps = 3)",https://doi.org/10.1126/science.1236498; https://doi.org/10.1093/restud/rdz008,batch14/run_equivalence.R: explicit weighted walk enumeration and NumPy matrix powers across q/T; TNA limiting case,"directed and undirected nonnegative weighted graphs, including loops; binary and probability cases","outgoing walk sum; q=1/T=3 are cograph defaults, not Zoo parameters; qA>1 is a weighted-walk extension without probability interpretation"
k-betweenness,0.976,Betweenness,betweenness,implemented,betweenness,"centrality(x, measures = ""betweenness"", cutoff = k)","Brandes (2008), bounded-distance betweenness",batch11/run_equivalence.R: brute-force distance cutoff,simple undirected unweighted graphs,
SpectralRank,0.976,Infection number,infection,implemented,spectralrank,"centrality(x, measures = ""spectralrank"")",Xu-Wang-Zhang-Lu2019 (online2018) DOI10.1109/TCYB.2018.2861568 sectionIII-A eq4-8 and prior-matrix prose; author PDFpages3-4 visually read,"batch37/run_equivalence.R: NetworkX shifted iteration on reversed augmented graph, SciPy eigenvectors, exact SymPy characteristic-root/mpmath resolvent; source_audit.py and published_audit.R Figure2 equations and source discrepancies; stress.R mpmath90",directed and undirected binary graphs; nonnegative interaction-weight extension; nonnegative scalar or node-vector diagonal priors,"Default sr_prior0; nonzero priors follow prose Atilde+P, whereas Algorithm1 update omits P. Raw maximum includes ground; no redistribution. normalized=True rescales ordinary nodes. Outgoing orientation; loops removed; remaining parallels sum; mode/inversion/cutoff ignored. Edgeless prior0 raw1/sqrt(n), singleton1, empty[]; Perron definition retained where literal iteration oscillates. Tiny asymmetric matrix weights need explicit directed=True or directed igraph. Extreme ranges/unresolved eigenpairs error. No author-code or predictive-performance parity claim"
Weight degree centrality (Wdc),0.975,Diffusion Degree,diffusion,pending review,,,,,,"candidate_review40: BLOCKED. Original Liu, Wei, Du, Xiao and Deng2016 Chaos Solitons and Fractals86:1-7 DOI10.1016/j.chaos.2016.01.030 NOT obtained: closed in Unpaywall, OpenAlex, Semantic Scholar and fatcat, no arXiv preprint, and five open-access citing papers print no equation. Zoo2.391 (page192 visually inspected, parenthesisation confirmed) gives c_Wdc(i)=(sum_{j in N(i)} d_j - d_i) d_i^alpha with alpha=|r|, r the degree assortativity; the bracket equals sum_{j in N(i)}(d_j-1), the number of non-backtracking2-walks from i, verified exhaustively over36 random graphs n=1..7. The hard blocker is that alpha=|r| is undefined on regular graphs - NetworkX3.6.1 returns nan for C5, K4 and K_{3,3} - and regular graphs are a large share of the retained5,532-graph collection; no source says whether alpha is then0 or an error. Also open: which assortativity variant, 0^alpha for isolates, and whether alpha is free with |r| only a default. Computed that session: on the 3-star the centre gets Wdc=0 and each leaf2, ranking the centre last; on the triangle-plus-pendant a(deg3)=4.383600 falls below b=c(deg2)=4.922012. No published fixture, no code"
Bridging capital,0.973,Infection number,infection,implemented,bridging_capital,"centrality(x, measures = ""bridging_capital"")",Jackson2020 DOI10.1007/s00355-019-01189-3; author preprint arXiv1711.09504v3 section3.3 printedp18 visually read; entry-deletion EInf definition,"batch29/run_equivalence.R: NetworkX entry deletion and NumPy matrix powers; independent explicit walk enumeration using distinct traversed-arc sets; public analytic repeated-use, single-entry, value-matrix and range checks","directed transmission matrix entries in[0,1], finite integer horizon, nonnegative source-destination values; loops allowed and remaining parallels aggregate within probability bounds","Deletes one matrix entry p_ij and credits source i, also on reciprocal-entry undirected inputs; does not delete both directions or a whole node. EInf expected walk counts, not PInf ever-heard probability. Default horizon2/values1, zero horizon empty-sum extension. Mode/inversion ignored; costly; unrepresentable intermediate masses error"
Laplacian gravity centrality (LGC),0.973,Diffusion Degree,diffusion,pending review,,,,,,"candidate_review40: BLOCKED on the truncation radius. Original Zhang, Shuai and Lu2022 Information Sciences618:98-117 DOI10.1016/j.ins.2022.10.070 NOT obtained: Unpaywall, OpenAlex, Semantic Scholar and OpenAIRE all report it closed with zero OA locations, no arXiv preprint, and a Europe PMC full-text search returns only unrelated work. Zoo2.217 (page118 visually inspected) gives c_LGC(i)=sum_{j in N^(<=l)(i)} c_L(i)c_L(j)/d_ij^2 with c_L the Laplacian centrality of Zoo2.216 and l=<d>/2. That radius is not an integer and no rounding rule is given: computed that session on the Krackhardt kite <d>=89/45=1.977778 so l=0.988889, and floor gives l=0 which makes every score exactly zero, round gives l=1 which collapses LGC to a neighbour sum, and ceil gives l=2. cograph's gravity_radius='auto' is a house convention and adopting it here would not be implementing the paper. Also open: whether <d> averages over reachable pairs only, whether c_L is the relative or absolute energy drop (changes the scale by E_L(G)^2=34596 on the kite but not the ranking at l=1 or2), disconnected graphs, isolates and the weighted case. No published numerical table, no author code; worked demonstration retained in laplacian-gravity-centrality_worked.csv (values computed by the scout, not published). Descendants Zhu and Hao2024 S096007792401227X and Liu et al.2025 SSRN5354650 are the likeliest secondary sources for the radius convention"
Local gravity model,0.972,Hubbel,hubbell,implemented,gravity,"centrality(x, measures = ""gravity"", gravity_mass = ""degree"", gravity_radius = ""auto"")",https://doi.org/10.1038/s41598-019-44930-9,batch12/run_equivalence.R: NetworkX distances and degrees; explicit cograph auto-radius convention,simple undirected unweighted graphs,"auto uses max(1, round(mean finite positive distance / 2)); rounding and disconnected-graph convention are cograph choices"
Graph regularization centrality (GRC),0.972,Hubbel,hubbell,implemented,graph_regularization,"centrality(x, measures = ""graph_regularization"")",DOI10.1016/j.physa.2023.129188; author software linked by Mendeley DOI10.17632/ns63f5dj86.1; GitHub commit89a0f8e6ede52a8d601779691185920d725ef910,"batch24/run_equivalence.R: SciPy Cholesky inverse, LU determinant ratios, author Chebyshev convergence at 1024 terms, 700-digit mpmath inverse; original 10-term approximation errors retained separately","undirected nonnegative weighted graphs; finite gamma>=0, default1; directed projection explicitly sums opposite weights","reciprocal diagonal of (I+gamma L)^-1; exact unit-impulse definition, not author signal option; author default 10-term approximation is not numerically equivalent in general; isolates and gamma0 give1; extreme gamma handled in log space; unresolved positive spectrum raises error"
Influence capability (IC),0.972,h-index strength,hindex_strength,pending review,,,,,,"candidate_review40: BLOCKED, and the printed formula is ill-formed. Original Wang, Du, Fan and Xing2017 Neurocomputing260:466-477 DOI10.1016/j.neucom.2017.04.064 NOT obtained: Unpaywall, OpenAlex and OpenAIRE report it closed; Semantic Scholar's BRONZE accepted-manuscript location on sciencedirect.com returned a 2.5KB block page rather than a PDF; fatcat was unreachable. Zoo2.196 (page110 visually inspected) gives c_IC(i)=w1 IC_p(i)+(1-w1) IC_N(i) with IC_N(i)=sum_{j in N(i)} sum_{l in N(j)} d_l with multiplicity, w1=(1-E1)/(2-E1-E2) from the entropies of the two score distributions, and IC_p(i)=d_r(i)+sum_{j in N(i)}(2/pi)arctan(Iter(j)^{1/3}). The hard blocker is that d_r(i) is defined as the residual degree after removing neighbours l with Iter(l)<Iter(j), so it depends on j, yet is written outside the sum over j; moving it inside or reading it against Iter(i) give different measures and the Zoo cannot decide. Also open: E1 and E2 have no operational definition (how a score vector becomes a distribution, log base, the normalisation keeping w1 in [0,1], and w1=0/0 on regular graphs); IC_p is O(d) while IC_N is O(d^2), so the convex combination presupposes an unstated standardisation; the Iter start index and per-shell reset are unstated, as are direction, weights, loops and disconnected graphs. NO numerical demonstration was computed, deliberately: with IC_p ill-formed, inventing one would manufacture a false fixture. Next step: an institutional-access PDF, or retrying the /am/ accepted-manuscript URL from an unblocked network"
Weighted gravity model (WGravity),0.972,Infection number,infection,pending review,,,,,,"candidate_review40: BLOCKED. Original Liu, Wang and Deng2020 Knowledge-Based Systems193:105464 DOI10.1016/j.knosys.2019.105464 NOT obtained: closed in Unpaywall, OpenAlex, Semantic Scholar and OpenAIRE, ScienceDirect returns403, no arXiv preprint, fatcat unreachable all session; only metadata and abstract were read, and the abstract mentions neither gravity nor eigenvector centrality, so it does not corroborate that the Zoo expression is this paper's measure. Zoo2.395 (page194 visually inspected) gives c_WGravity(i)=e_i sum_{j in N^(<=r)(i)} d_i d_j/d_ij^2 with e_i the eigenvector centrality and r=0.5<d>; since e_i and d_i factor out, this is cograph's local degree-mass gravity multiplied by eigenvector centrality. 'Weighted' means weighted by the node's own eigenvector centrality, not by edge weights: the entry has no edge-weight symbol, so nothing is missing on unweighted input. Blockers: r=0.5<d> is not an integer and no rounding is given (kite <d>=89/45 so r=0.988889; floor zeroes every score, round gives1, ceil gives2); eigenvector centrality is not well defined on disconnected graphs, which the retained collection contains in quantity, and NetworkX3.6.1 raises AmbiguousSolution on K4 disjoint-union P3; the eigenvector normalisation is unspecified and L2 versus L1 rescales every score by a constant, measured as exactly2.807588 on the kite; and <d> on disconnected graphs, zero-spectral-radius graphs, direction, loops and parallels are unstated. Zoo2.217 LGC uses the same <d>/2 prescription from a different paper, so resolving one is circumstantial evidence for the other but would remain a labelled borrowing. Worked demonstration retained in weighted-gravity-model_worked.csv (values computed by the scout, not published)"
Improved iterative resource allocation (IIRA),0.972,Random walk centrality,random_walk,implemented,iira,"centrality(x, measures = ""iira"")","Zhong-Liu-Shang2015 DOI10.1016/j.physleta.2015.05.021 PhysicsLettersA379(38):2272-2276 eqs1, 2 and4, figure2 and the printed eq5 matrix and I(50); read as the author preprint arXiv:1505.03214v1, PDF SHA256 f7b23645d11ad9a19e6411b10baac5066420231c534cf388eb8b7810d2e660b1 recomputed this session, page2 rendered at 200dpi and visually read. The Elsevier VERSION OF RECORD was NOT read; Unpaywall lists the arXiv copy as the only OA location and arXiv has no v2","batch43/run_equivalence.R: the same six-route reference family as the IRA row minus the parity closed form, crossing ira_mass coreness/degree x iira_beta 1/5, 1/2 x iira_steps 50, 10 on all5,532 fixtures with a sub-stochastic column invariant plus wrapper, normalization, permutation and input-projection checks; because raw I(50) is of order1e-20 the run requires a plain relative error as well as the scaled error, both at1e-11; published_audit.R reproduces all25 printed eq5 entries at the paper's own truncation and all five printed I(50) values","simple undirected unweighted graphs; ira_mass coreness/degree, iira_beta 0.2 and0.5, iira_steps 50 and10; disconnected graphs and isolates","Same recursion as ira with a_ij=[1-(1-beta)^{k_i}] theta_i (sum_{u in Gamma(j)} theta_u)^{-1} delta_ij, k_i the degree of i; there is NO alpha exponent, it is dropped rather than set. Defaults iira_beta=0.2, iira_steps=50 and ira_mass=coreness are the worked example's values; the paper sweeps beta and t in its experiments and recommends no other default, so50 is the example's setting, not a tuned one. psi_i<1 strictly, so every column sums to less than one, the spectral radius is below one and I(t) decays geometrically: the raw I(50) the paper prints is of order1e-20, cograph returns that raw vector so the printed example is reproducible, and only the ranking is meaningful. Raw scores from different connected components sit on DIFFERENT exponential scales after t steps and must not be compared; normalized=True max-scales. IMPORTANT: Zoo2.185 prints p_ij=(1-(1-beta)^{d_i}) a_ij c_i/sum_k a_ik c_k, pairing the numerator index with the denominator's own neighbourhood while the paper pairs them with opposite sets; as printed the Zoo's row sums are psi_i c_i d_i/sum_{k in N(i)} c_k, so its matrix is stochastic in neither direction although the entry calls it stochastic, and it reproduces neither the printed eq5 matrix nor the printed I(50). cograph implements the paper. All25 printed eq5 entries reproduce at the paper's own truncation, which truncates rather than rounds (0.2952 prints as0.29, 0.0333 as0.03), and all five printed I(50) values [8.19e-20,4.32e-20,4.32e-20,6.7e-21,6.7e-21] reproduce at the printed three significant figures; the figure2 caption's ks_{3,4}=1 is a typo for ks_{4,5}=1, and the peeling that reproduces the printed matrix gives2,2,2,1,1. Because the raw values are of order1e-20 to1e-40 the equivalence run requires a plain relative error as well as the scaled one, both at1e-11. beta=0 is refused rather than silently returning zeros; iira_steps=0 returns I(0); a large iira_steps underflows to zero. Simple undirected unweighted skeleton; loops/parallels removed; weights/mode/inversion/cutoff ignored; isolates score0, the value of the source's empty sum. The Elsevier version of record was NOT read, only arXiv v1. No author software exists and no spreading-performance claim is made"
Node and Neighbor Layer Information (NINL) centrality,0.972,Total communicability,communicability,implemented,ninl,"centrality(x, measures = ""ninl"")","Zhu-Wang2021 DOI10.3390/sym13091570 section2.1 eq1-2, Figure1 and Table1; primary PDFpages3-4 visually read","batch34/run_equivalence.R: NetworkX BFS/NumPy exact integer matrix powers, independent explicit walk enumeration; all52published values; large-order exact integer normalization and public parity tests",simple undirected unweighted graphs; full finite iteration family with explicit radius and disconnected extensions,"Default order3, automatic radius ceil(mean distance over all distinct pairs). Disconnected mean infinite: radiusInf includes only reachable nodes; isolates0, empty[]. Numeric radius overrides generalize source. Directed inputs use either arc, loops/parallels removed, weights/mode/inversion/cutoff ignored. Raw overflow errors; normalized stepwise rescaling preserves finite-order bipartite alternation, exact repeated states only. No eigenvector limit or author-code parity claim"
Extended H-index centrality (EHC),0.972,h-index strength,hindex_strength,pending review,,,,,,"candidate_review40: BLOCKED, with strong internal evidence of a Zoo transcription error. Original Zareie and Sheikhahmadi2019 PhysicaA514:141-155 DOI10.1016/j.physa.2018.09.064 NOT obtained: closed in Unpaywall, OpenAlex, Semantic Scholar and OpenAIRE, no matching arXiv preprint, two OA Zareie preprints (arXiv2111.04529, 2108.03438) do not restate the equations, and fatcat was unreachable. Zoo2.120 (page81 visually inspected; pdftotext turns the stacked exponent into a spurious radical, so the render was necessary) gives CMC(i)=sum_{k=1}^{h} p^{1+kp/r} s_k(i) with h the global maximum degree and s_k(i) the number of neighbours of degree>=k, suggested p=0.8, r=100, then c_EHC(i)=sum_{j in N(i)} CMC(j). As transcribed, EHC contains no h-index operator at all: because h is the maximum degree, sum_{k=1}^{h} s_k(i) equals sum_{j in N(i)} d_j exactly, so CMC is only a p-discounted neighbour-degree sum. With the suggested parameters the discount moves only from0.798573 at k=1 to0.785846 at k=10, and across the NetworkX atlas (1,226 graphs on3-7 nodes with an edge) the EHC ranking differs from the plain second-order degree sum on only162 graphs (13.2%), worst Kendall tau0.6547. Also unresolved: the parameter domain for p and r, whether s_k is >=k or >k, and whether h is global or per-node. A single institutional-access PDF of DOI10.1016/j.physa.2018.09.064 would unblock it. No published fixture, no code"
Extended Cluster Coefficient Ranking Measure (ECRM),0.971,Total communicability,communicability,pending review,,,,,,"candidate_review40: BLOCKED, and the missing item is a SOURCE, not access. Zoo2.117 (pages79 and80 visually inspected) gives c_ECRM(i)=sum_{j in N(i)} sum_{l in N(j)} SCC(l) with multiplicity but supplies NO citation for the extension; only SCC's own entry2.351 cites Zareie et al.2020 KBS194:105580 DOI10.1016/j.knosys.2020.105580. This is the fourth instance of a Zoo pattern already recorded for2.129, 2.130 and2.131, so ECRM may be a Zoo-authored construction rather than a published measure; a title search found nothing defining it and three OA papers mention it only in citation lists. ECRM also inherits every blocker of SCC, which is itself blocked and undefined on every forest. No numerical demonstration was computed, deliberately: there is no source to check numbers against. Next steps: a Crossref/OpenAlex title-and-abstract search for 'extended cluster coefficient ranking' to decide between 'pending on access' and 'Zoo-defined, no primary source', and institutional access to the KBS paper for the base measure"
"Mixed core, degree and entropy (MCDE)",0.971,Degree,degree,pending review,,,,,,"candidate_review37: primary DOI10.1177/0165551516644171 full formula still unread; Zoo entropy sign and coefficient/normalization conventions not independently verified. DBLP unpaywalled link is a hidden generic lookup, not a PDF. OpenAlex W2342586812 currently lists closed access and no repository full text; coauthor profile supplies abstract only. These observations do not prove no accessible primary copy exists"
Weighted k-shell degree neighborhood (Maji),0.97,Hubbel,hubbell,pending review,,,,,,
LineRank,0.969,Laplacian,laplacian,implemented,linerank,"centrality(x, measures = ""linerank"")","Kang et al.2011 DOI10.1137/1.9781611972818.11 definitions2-4; Kosa et al.2015 DOI10.2298/CSIS141101092K section4, original PDFs read","batch26/run_equivalence.R: NetworkX line_graph/PageRank, Markov-chain tree cofactors; convergence_audit.R: large cofactor checks and retained literal-pseudocode discrepancy","directed and ordinary undirected line graphs; nonnegative weights; probability and weight aggregation; damping [0,1); explicit loop, parallel-state and dangling conventions",Follows random-walk definition and Kosa2015 ordinary-undirected clarification. Probability aggregation default; weight aggregation additionally multiplies original weights as in Algorithm2. Original pseudocode row/column normalization is inconsistent and not replicated; uniform dangling redistribution and loop endpoint counting are explicit conventions; dense and costly
Improved global structure model (IGSM),0.969,Diffusion Degree,diffusion,implemented,improved_global_structure,"centrality(x, measures = ""improved_global_structure"")",https://doi.org/10.1038/s41598-023-37570-7 eq5 reproduces Zhu-Wang2022 DOI10.1088/1674-1056/ac380d; original full text not read,"batch21/run_equivalence.R: NetworkX degrees/BFS and direct formula, independent Floyd-Warshall distances; analytical mean-degree ceiling cases",simple undirected unweighted graphs,exp(degree_i/N) times sum degree_j/d_ij^a; a=ceil(log2(mean(degree))); global mean includes isolates; zero/negative exponents retained; unreachable partners and edgeless graphs score0 by explicit extension; no extended-IGSM neighbor aggregation
"Mixed core, degree and weighted entropy (MCDWE)",0.969,Degree,degree,pending review,,,,,,"candidate_review37: primary DOI10.1177/0165551516644171 full formula still unread; Zoo entropy sign and coefficient/normalization conventions not independently verified. DBLP unpaywalled link is a hidden generic lookup, not a PDF. OpenAlex W2342586812 currently lists closed access and no repository full text; coauthor profile supplies abstract only. These observations do not prove no accessible primary copy exists"
Extended neighborhood coreness,0.967,Total communicability,communicability,implemented,extended_coreness,"centrality(x, measures = ""extended_coreness"")",Bae-Kim DOI10.1016/j.physa.2013.10.047; equations reproduced in Ma et al. DOI10.1016/j.physa.2015.12.162 eq2-3,batch17/run_equivalence.R: NetworkX core_number plus common-neighbor walk counts; exhaustive induced-subset core oracle,simple undirected unweighted graphs,A^2 times original core numbers; counts all length-two walks including returns and repeated endpoints; isolates=0
Extended weight degree centrality (EWdc),0.966,Total communicability,communicability,pending review,,,,,,"candidate_review40: BLOCKED, and possibly not a literature measure. Zoo2.131 (page84 visually inspected) gives c_EWdc(i)=(sum_{j in N(i)} c_Wdc(j) - c_Wdc(i)) c_Wdc(i)^{|r|} but supplies NO citation for the extension, only [238] for the base - the same pattern as Zoo2.129 and2.130 - so it may be a Zoo-authored construction. It also inherits every Wdc blocker, including alpha=|r| being nan on regular graphs. Computed that session, EWdc is negative on the 3-star leaves (-4.0). Next steps: obtain Chaos Solitons and Fractals86:1-7 DOI10.1016/j.chaos.2016.01.030 for the alpha convention, and search Crossref/OpenAlex for any paper defining 'extended weight degree centrality' before treating EWdc as a published measure"
Shell clustering coefficient,0.965,Hubbel,hubbell,pending review,,,,,,"candidate_review40: BLOCKED, undefined on every forest. Original Zareie, Sheikhahmadi, Jalili and Fasaei2020 Knowledge-Based Systems194:105580 DOI10.1016/j.knosys.2020.105580 NOT obtained: Unpaywall (is_oa=true) and Semantic Scholar (GREEN) both point at RMIT figshare record27530886, which the figshare v2 API reports with an empty files list - a metadata-only stub, so the OA flag is wrong; OpenAIRE reports CLOSED, no arXiv preprint, two OA Europe PMC hits do not restate the formula, and fatcat was unreachable. Zoo2.351 (page176 visually inspected, bracketing confirmed, reprinted identically on page80 inside the ECRM entry) gives SCC(i)=sum_{j in N(i)}[2-corr(sv(i),sv(j))+(2d_j/max_l d_l+1)] with sv(i) the length-f histogram of the k-shell indices of i's neighbours and f the maximum k-shell. The hard blocker is that the Pearson correlation is undefined whenever f=1 or a shell vector is constant: f=1 on every forest, so every node of P4 and of the 3-star is undefined, and over the NetworkX atlas of995 connected graphs on2-7 nodes,329 of10,664 adjacent pairs (3.1%) are undefined while7,282 of the10,335 defined ones (70.5%) are exactly +-1 because f=2 forces it. The retained collection contains every labelled simple graph through five vertices, so every forest in it is affected, and no source says whether the undefined term is0, dropped, or an error. Also open: whether the two bracketed terms are added as printed or multiplied, whether there is a 1/d_i normalisation (as printed 2d_i<=SCC(i)<=6d_i, close to a degree count), the sign, and whether f is the maximum shell index or the number of distinct shells. The same PDF would also unblock ECRM (Zoo2.117). Worked demonstration retained in shell-clustering-coefficient_worked.csv (values computed by the scout, not published)"
Weight neighborhood centrality,0.964,Hubbel,hubbell,pending review,,,,,,"candidate_review40: BLOCKED narrowly - everything except one global constant is pinned. Original Wang, Hou, Li and Ding2017 PhysicaA475:88-105 DOI10.1016/j.physa.2017.02.007 NOT obtained: closed in Unpaywall, OpenAlex, Semantic Scholar and OpenAIRE, no matching arXiv title, the single Europe PMC hit is a non-OA review, fatcat unreachable. Zoo2.392 (page193 visually inspected) gives c_wnc(i)=f(i)+sum_{j in N(i)}(w_ij/wbar)f(j) with w_ij=(d_i d_j)^alpha, alpha=1, f a benchmark centrality (degree or k-shell) and wbar 'the average importance of all links in the network'. As with WGravity, 'weight' is a derived topological edge importance, not an input edge weight, so nothing is missing on unweighted input. The hard blocker is that wbar has no operational definition: f(i) enters unscaled while the neighbour sum is divided by wbar, so wbar sets the balance between the two terms and reorders nodes. Measured over the NetworkX atlas (1,226 graphs on3-7 nodes with an edge and a non-constant score), the edge-mean reading wbar=(1/|E|)sum_{(i,j) in E} d_i d_j and the all-node-pairs reading disagree in ranking on39 graphs, worst Kendall tau0.25; on the kite the two constants are317/18=17.6111 and317/45=7.0444. Also open: alpha's domain and whether alpha=1 is a default, the default benchmark f and whether it is normalised, the isolate and edgeless cases (wbar=0/0 when |E|=0), and the fact that wbar is global so adding a disconnected component changes every raw score. This is the closest of the pending closed-access candidates to ready: one institutional-access PDF would very likely settle everything. Worked demonstration retained in weight-neighborhood-centrality_worked.csv (36 rows, values computed by the scout, not published)"
"Mixed core, semi-local degree and entropy (MCSDE)",0.964,Diffusion Degree,diffusion,pending review,,,,,,"candidate_review37: primary DOI10.1177/0165551516644171 full formula still unread; Zoo entropy sign and coefficient/normalization conventions not independently verified. DBLP unpaywalled link is a hidden generic lookup, not a PDF. OpenAlex W2342586812 currently lists closed access and no repository full text; coauthor profile supplies abstract only. These observations do not prove no accessible primary copy exists"
"Mixed core, semi-local degree and weighted entropy (MCSDWE)",0.964,Diffusion Degree,diffusion,pending review,,,,,,"candidate_review37: primary DOI10.1177/0165551516644171 full formula still unread; Zoo entropy sign and coefficient/normalization conventions not independently verified. DBLP unpaywalled link is a hidden generic lookup, not a PDF. OpenAlex W2342586812 currently lists closed access and no repository full text; coauthor profile supplies abstract only. These observations do not prove no accessible primary copy exists"
LocalRank,0.963,Diffusion Degree,diffusion,implemented,semilocal,"centrality(x, measures = ""semilocal"")",https://doi.org/10.1016/j.physa.2011.09.017,batch12/run_equivalence.R: centiserve::semilocal; test-centrality-batch12.R: A^2 reach formula,simple undirected unweighted graphs,
Entropy-Based Ranking Measure (ERM),0.963,h-index strength,hindex_strength,pending review,,,,,,"candidate_review40: BLOCKED on the outer aggregation. Original Zareie, Sheikhahmadi and Fatemi2017 Chaos Solitons and Fractals104:485-494 DOI10.1016/j.chaos.2017.09.010 NOT obtained: closed in Unpaywall, OpenAlex, Semantic Scholar and OpenAIRE, no matching arXiv preprint, fatcat unreachable. One OA paper (PMC9704601) describes ERM in prose as the degree entropy of one- and two-step neighbours combined by a tunable weight, a lead, not formula evidence, and it was not used to resolve the ambiguity. Zoo2.109 (page76 visually inspected) gives EC(i)=E1(i)+lambda_i E2(i) with E1 the entropy of {d_j/d_i^(1)} over j in N(i), E2 the entropy of {d_j^(1)/d_i^(2)} over the same set, and lambda_i=d_i^(2)/max_k d_k^(2). The hard blocker is that the Zoo prints c_ERM(i)=sum_{j in N(i)} sum_{k in N(j)} EC(i), whose summand depends on neither summation index and so collapses to EC(i) times d_i^(1); the companion entry2.117 uses the identical nested construction with the INNER index in the summand, so EC(k) is almost certainly what was meant. The two readings are different measures: Kendall tau between them was computed that session as1.000 on triangle-plus-path but0.500 on P5, 0.630 and0.556 on two other five-node graphs, and a pendant node gets c_ERM=0 under the literal reading versus2.191987 under the repaired one. Also open: the log base and the isolate, degree-1 and edgeless conventions, where d^(1)=0 and max_k d_k^(2)=0 both give 0/0. Worked demonstration retained in ranking-measures-crm-erm_worked.csv (values computed by the scout, not published)"
Multi-characteristics gravity model (MCGM),0.963,Infection number,infection,implemented,mcgm,"centrality(x, measures = ""mcgm"")","Li-Huang2022 DOI10.1038/s41598-022-14005-3 eq17-18, Algorithm1 and Tables1-2; primary PDFpages4-5 visually read",batch38/run_equivalence.R: NetworkX shifted power/BFS/core; exact rational characteristic-root/mpmath resolvent projection and exhaustive cores/integer-power distances; published_audit.R all36 feature/score entries,simple undirected unweighted graphs,
Neighborhood core diversity centrality (Cncd),0.963,Subgraph,subgraph,pending review,,,,,,"candidate_review40: BLOCKED for two independent reasons. First, the attribution looks wrong: Zoo2.282 (page145 visually inspected) cites [436]=Yang and Xiao2021 Knowledge-Based Systems227:107198 DOI10.1016/j.knosys.2021.107198, the SAME reference the Zoo uses for2.207 KSGC, but Cncd is not a gravity model and shares no structure with KSGC, and no paper defining 'neighborhood core diversity centrality' was found on any index; that paper is closed everywhere and was not obtained, and fatcat was unreachable. Second, the printed formula is undefined on any graph with a leaf: c_Cncd(i)=cnc+(i)+delta*[sum_{j in N(i)} p(j) ln p(j)/ln(1/d_i)]*[sum_{j in N(i)} cnc+(j)/cnc+(i)] with p(i)=d_i/sum_{j in N(i)} d_j, and ln(1/d_i)=0 for every degree-1 node - verified that session, the kite's node J and both endpoints of P4 give 0/0 with a non-zero numerator, so the pole is not removable. Also open: the Zoo's p(j) is node-intrinsic so sum_{j in N(i)} p(j) is not1 (measured0.5000 to1.3206 on the kite), contradicting calling it a normalised entropy; the natural repair p_ij=d_j/sum_{l in N(i)} d_l does make it a distribution and gives different scores (kite node I:16.500000 literal versus14.895864 repaired). Isolates hit three degeneracies at once. The log base is NOT an ambiguity, it cancels in the ratio. cnc+ is Bae and Kim2014, already implemented as cograph's extended_coreness (batch17). Worked demonstration retained in neighborhood-core-diversity-centrality_worked.csv (18 rows, computed by the scout, not published; undefined cases recorded as NA, never as0)"
Weighted k-shell degree neighborhood (Wksd),0.961,Gravity centrality,gravity,pending review,,,,,,
VMM algorithm,0.961,Degree,degree,pending review,,,,,,
wkpath,0.96,Infection number,infection,pending review,,,,,,
Improved k-shell hybrid (IKH),0.96,Diffusion Degree,diffusion,pending review,,,,,,"candidate_review40: BLOCKED, same family and same audit as 'k-shell hybrid method'. IKH replaces ksh's constant mu by the distance kernel mu(d_ij)=2(l-d_ij+1)/(l(l+1)), verified exactly to sum to1 over d=1..l for l=1..6. Original Maji, Namtirtha, Dutta and Curado Malta2020 ESWA144:113092 DOI10.1016/j.eswa.2019.113092 NOT obtained; the accepted manuscript is deposited at recipp.ipp.pt/handle/10400.22/17904 with every bitstream returning HTTP401, restricted rather than missing, so a repository access request would settle IKH, EIKH and ksh. Worked value computed that session (l=3, triangle-plus-pendant): a=8.232051, b=c=7.016346, d=4.431410. No published fixture, no code"
Modified Local Centrality (MLC),0.96,Diffusion Degree,diffusion,pending review,,,,,,
Extended RMD-weighted degree (EWD),0.96,Total communicability,communicability,pending review,,,,,,
